Number,Description,Gauge
6464-1,"box car, Western Pacific",
6464-100,"boxcar, Western Pacific, blue or yellow feather",
6464-150,"boxcar, Missouri Pacific",
6464-175,"boxcar, Rock Island",
6464-225,"boxcar, Southern Pacific",
6464-25,"boxcar, Great Northern",
6464-275,"boxcar, State of Maine",
6464-300,"boxcar, Rutland",
6464-375,"boxcar, Central of Georgia",
6464-400,"boxcar, B&O",
6464-425,"boxcar, New Haven",
6464-450,"boxcar, Great Northern",
6464-475,"boxcar, Boston & Maine",
6464-50,"boxcar, M & St L",
6464-500,"boxcar, Timken",
6464-510,"boxcar, Pacemaker, blue-green for Girl's set",
6464-515,"boxcar, Katy, yellow for Girl's set",
6464-525,"boxcar, M & St L",
6464-650,"boxcar, Rio Grande",
6464-725,"boxcar, New Haven, orange",
6464-75,"boxcar, Rock Island",
6464-825,"boxcar, Alaska",
6464-900,"boxcar, NYC",
6465-150,"tank car, two dome, orange, Lionel Lines",
6466T,"tender, non-whistling",
6466W ,"tender, whistling, Lionel Lines",
6466WX,"tender, whistling, Lionel Lines",
6468-25,"automobile car, double door, New Haven",
6468X,"automobile car, B&O double door, tuscan",
6476-75,"hopper, Lehigh Valley, black or red",
6560-25,"crane, red cab",
6562-50,"gondola with canisters, black",
6562-50,"gondola with canisters, black",
6654W,"tender, whistling, tinplate Lionel Lines",0-27
671R,"locomotive, turbine 6-8-6 Electronic Set",O
671W,"tender, whistling",
6822-50,searchlight car,
736W,"tender, whistling, Pennsylvania",
746W,"tender, whistling, N & W",O
773W,"tender, whistling, NYC",
ECU-1,Electronic Control Unit,
HO set,matches components of super O set 2555W,0-27
LW,"transformer, 125 watt",
RCS,"track, uncoupling/operating, 5 rail",O
S,"transformer, 80 watts",
T022,"track, switches, remote control, without constant voltage plug",O
UCS,"track, uncoupling/operating, 5 rail w/ electromagnet",O
unlettered,"caboose, SP type without end rails, red or yellow",
ZW,"transformer, 275 watt",
